rand_point,agb_mean,ndvi_2015m,evi_2015me
0,47,0.297308389,-8.256614156
1,47,0.311230851,-2.180072952
2,47,0.15169351,-2.747657446
3,97.33554626,0.406496294,-2.548632553
4,115.0910969,0.526974931,-2.004241411
5,119.913144,0.613225877,-2.601580633
6,47.5574644,0.455390118,-1.933689753
7,117.518922,0.511742915,-1.831380492
8,22.64013353,0.151810425,0.995444833
9,23,0.197834462,4.187432747
10,23,0.130040957,1.064090724
11,27,0.267540552,-5.598607084
12,26.16249821,0.168643925,1.477659142
13,36.81418516,0.387461483,5.564372276
14,32.93884333,0.56637165,-21.53303577
15,62.64253915,0.572102979,-3.604946268
16,23.80038073,0.38301184,-7.955767161
17,43.05576627,0.457097143,-2.535928021
18,76.85174738,0.277863549,-1.10692073
19,113.3339833,0.551773891,-2.602228774
20,150.6899547,0.580611736,-2.886468143
21,52,0.254932359,-0.618849162
22,137.3493111,0.493363909,-2.52688543
23,86.35605251,0.542109057,-3.620598226
24,95.05701266,0.508849002,-2.121201914
25,135.3685755,0.472643338,-2.636925193
26,89.27567437,0.463872105,-2.672812804
27,170.5349002,0.556745887,-5.26445617
28,130.5405353,0.519479677,-1.675446665
29,92.9845893,0.454919361,-1.321424385
30,129.7779037,0.537076004,-2.231501768
31,87.67820297,0.368081577,-0.912413965
32,105.038205,0.201632749,-0.553810964
33,87.19044554,0.546182722,-10.58611665
34,118.0421865,0.35612566,-1.08466586
35,77,0.519769415,-2.412920471
36,104.4338242,0.5805583,-4.035477658
37,50.18014769,0.490726776,-2.514683386
38,116.5304028,0.594199017,-2.356060068
39,60.25432555,0.488238938,-2.459154804
40,84,0.452278405,-1.719534566
41,74.84206068,0.532722995,-2.064394461
42,57.86871943,0.491265118,-2.108940805
43,124.212511,0.619107872,-2.291642266
44,143.0113244,0.581324115,-1.92174025
45,63.79248835,0.460014857,-1.615600449
46,71.11013186,0.52104117,-2.043378173
47,114.2726201,0.633088574,-2.633225384
48,30,0.325540312,-2.640410788
49,30,0.148230126,1.168384833
50,30,0.192648564,-3.347541124
51,62,0.158483528,-0.41639717
52,86,0.217463158,-0.945935701
53,77.1388202,0.180016022,-0.622392011
54,76,0.156065658,-0.48018969
55,85.7829672,0.184896827,-0.559300624
56,126.9147693,0.632061973,-2.279165378
57,110,0.521979086,-2.009902665
58,103.8916419,0.563291684,-1.444930117
59,67.41404721,0.521055326,-1.569931878
60,56.73698421,0.223393474,-0.913937852
61,29.69998366,0.209181815,-0.736159929
62,69.94164893,0.129550269,-0.354769796
63,26.30308982,0.649069563,-3.84545699
64,115.3234699,0.352287956,-1.223830664
65,48.84398825,0.633402288,-3.653194118
66,98.88392505,0.464911804,-1.853773693
67,124,0.424998112,-1.460054026
68,170,0.473156892,-1.968595338
69,77.16093888,0.291489303,-1.268738463
70,36,0.083417792,-0.242430351
71,42.49383089,0.136626679,-0.464621979
72,75.97220766,0.598455355,-2.208534146
73,55.60909271,0.32581469,-0.976636019
74,23.72500186,0.51487644,-2.238192122
75,100.6564077,0.214950327,-0.775418706
76,57,0.275417235,-0.677111883
77,57.16221777,0.299238466,-0.83210681
78,76,0.346482303,-1.030745913
79,9.882445357,0.370352611,-1.146381942
80,44.00024988,0.253284816,-0.69337971
81,91.96309685,0.549591422,-1.818453992
82,108.5634956,0.484780453,-1.374949158
83,131.6704435,0.496597685,-1.577105778
84,83.98409003,0.52723603,-1.481382924
85,81.34168647,0.301690999,-0.816882206
86,105.1106209,0.566491276,-1.736711089
87,152,0.188618425,-0.588823694
88,35.40736167,0.218228329,-0.651790194
89,85.7047297,0.588785619,-2.023903228
90,62.62083649,0.580848947,-1.99534723
91,92.52824132,0.388557181,-1.241310445
92,200.745969,0.603250474,-2.252689834
93,158.6357855,0.566274211,-2.08230721
94,141.7144027,0.550241724,-2.27316518
95,131.1827714,0.241887337,-0.830605848
96,37.14698752,0.232648137,-1.057607497
97,90.2777519,0.107301867,-0.208106334
98,140.2830519,0.528736547,-2.816393107
99,97.22783257,0.461880326,-1.762920191
100,0,0.260002382,-0.746135429
101,0,0.149563102,-1.663056898
102,0,0.150376448,-0.365467069
103,69.74072927,0.467096671,-1.317814708
104,0,0.325924721,-1.596008915
105,78.51211825,0.359889641,-0.887167631
106,37,0.067321201,-0.169130794
107,62,0.231327556,-0.677974809
108,62,0.227658346,-0.920664609
109,62,0.295146033,-1.217353939
110,40,0.343967631,-1.01332858
111,40,0.253628518,-0.653623042
112,40,0.289655156,-0.648880478
